Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2025-06-17;916865;8467685,00;0;250000000,00;0;7825661,00;1;20064,10;7;1298,50;144;114,40;259;48,10;261;41,40;4171;11,40;5329;10,00;11209;9,20;21183;5,50;80292;4,70;162207;3,90
2025-06-13;1264701;11712515,00;0;0,00;0;4493785,70;1;25302,20;5;1557,80;134;153,00;351;57,90;241;51,70;5590;12,40;5731;13,30;12762;11,60;33099;5,10;86344;6,00;190269;4,60
2025-06-10;955936;8826987,50;0;0,00;0;5914294,60;1;26957,40;5;1799,20;78;152,00;170;73,40;229;50,60;3186;16,40;4055;13,10;9725;11,20;17575;7,30;66044;6,00;146368;4,50
2025-06-06;1324708;12568857,50;0;0,00;1;2737810,60;1;23054,20;6;1305,60;139;134,90;289;68,30;259;46,00;4408;16,50;6563;11,90;14603;9,80;23272;7,80;97737;5,80;224282;3,90
2025-06-03;962495;8701692,50;0;0,00;0;212330,10;2;33083,30;7;1204,40;76;144,70;246;53,90;179;49,50;3810;12,00;4340;12,20;9179;10,90;20031;5,40;67454;5,70;144868;4,40
2025-05-30;1015705;9181945,00;0;0,00;0;126179,90;1;16383,50;2;1556,80;111;128,80;218;57,00;277;37,60;3618;14,10;5476;10,50;13289;8,30;18687;6,90;77615;5,30;179519;3,70
2025-05-27;783590;6836260,00;0;0,00;0;486735,00;1;22751,60;3;1687,20;70;146,50;169;76,00;163;48,80;2376;17,80;3502;13,40;7851;10,60;12924;8,20;51623;6,30;118137;4,20
2025-05-23;824075;7103832,50;0;0,00;1;270867,00;1;25322,40;6;1834,20;64;164,70;142;79,70;172;50,10;2158;18,10;3343;13,70;7353;11,40;12729;8,10;50916;6,30;115907;4,50
2025-05-20;630664;5182412,50;0;0,00;0;839110,40;0;28016,20;2;1246,60;56;108,80;122;57,70;155;38,80;2002;14,50;3043;10,30;6742;8,90;10313;7,00;43110;5,10;95105;3,90
2025-05-16;785486;6601640,00;0;0,00;0;199795,20;1;33353,80;1;1454,40;79;124,70;178;66,40;177;42,30;2502;16,10;3484;12,40;8061;9,60;12729;7,80;49610;6,00;119816;4,00
2025-05-13;595678;4747402,50;0;0,00;0;382845,10;0;44738,60;5;1161,20;51;135,10;213;50,00;116;46,40;2451;12,80;4011;9,20;5926;9,70;12200;6,10;42557;5,40;82324;4,20
2025-05-09;743832;6061700,00;0;0,00;0;153430,40;1;35859,20;3;971,20;68;115,30;227;40,10;150;41,80;3041;10,50;3539;10,20;7411;9,50;15961;5,20;51440;5,10;106165;4,00
2025-05-06;558345;4276512,50;0;0,00;0;226674,40;0;22704,60;3;1455,90;51;154,50;137;53,40;122;48,80;2384;11,70;2263;12,30;4961;10,20;12816;5,40;34535;5,60;74043;4,10
2025-05-02;635080;4973897,50;0;0,00;0;209233,30;0;24450,60;6;1450,60;72;106,80;108;64,20;214;29,40;1776;16,40;2909;10,80;7848;7,40;9078;8,20;39553;5,50;107038;3,30
2025-04-29;492698;3598655,00;0;0,00;0;0,00;3;65420,20;4;1326,90;54;129,20;107;71,50;107;38,60;1301;17,20;1904;12,50;4780;8,90;6583;8,20;27025;6,10;68721;3,80
2025-04-25;792708;6288432,50;0;0,00;0;148333,50;0;34667,90;3;1316,80;82;142,80;138;78,10;234;33,50;2137;18,10;3112;13,90;8900;8,90;11555;8,30;43852;6,80;119904;3,80
2025-04-22;432289;3000272,50;0;0,00;0;0,00;0;161263,00;3;1359,30;34;140,70;48;78,20;60;41,60;965;18,60;1747;11,60;4272;8,60;5128;8,80;23421;6,00;57102;3,90
2025-04-18;611017;4531272,50;0;0,00;0;134387,60;0;26173,80;3;1111,70;58;129,80;129;54,10;105;47,90;2007;12,40;2387;12,10;5264;10,90;10968;5,60;34993;5,80;74396;4,50
2025-04-15;442862;2992107,50;0;0,00;0;0,00;0;127814,00;0;1639,50;33;167,30;60;89,00;58;49,50;993;17,90;1376;14,00;3624;10,10;5408;8,30;21580;6,50;55218;4,00
2025-04-11;592124;4284757,50;0;0,00;0;165122,30;1;25727,80;1;1414,10;44;142,60;133;54,80;101;49,20;1886;12,60;2140;12,90;4365;11,40;10672;5,60;31881;5,90;68666;4,50
