Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2025-09-24;419343;2899432,50;0;0,00;1;71326,00;34;1986,90;97;349,70;2120;29,50;2756;14,20;35612;7,50;23159;4,50;83881;1,50
2025-09-20;611442;4903072,50;1;1000000,00;1;120615,50;117;976,40;297;193,10;5002;21,10;6153;10,70;75423;7,50;46677;4,50;158174;1,50
2025-09-17;434859;3037510,50;1;1500000,00;5;14944,50;60;1179,50;139;255,60;2548;25,70;3674;11,10;42786;7,50;34759;4,50;126566;1,50
2025-09-13;619456;4974217,50;0;0,00;1;122365,70;86;1347,60;248;234,60;4120;26,00;7100;9,40;65431;7,50;61965;4,50;203887;1,50
2025-09-10;440497;3090175,50;1;1500000,00;2;38009,10;71;1014,00;129;280,20;3130;21,30;3189;13,00;48317;7,50;28737;4,50;100123;1,50
2025-09-06;633058;5104026,00;0;0,00;0;0,00;84;1415,70;163;366,30;4190;26,30;4627;14,80;69445;7,50;46062;4,50;184112;1,50
2025-09-03;533358;4101052,50;1;4000000,00;5;20177,10;120;796,20;248;193,40;4587;19,30;5292;10,40;64063;7,50;42417;4,50;138918;1,50
2025-08-30;796148;6642691,50;0;0,00;1;163410,20;129;1199,80;255;304,70;6190;23,10;6471;13,80;102064;7,50;59352;4,50;201050;1,50
2025-08-27;489679;3628210,50;0;0,00;1;89253,90;40;2113,40;130;326,50;2681;29,20;3522;13,90;46222;7,50;35813;4,50;139037;1,50
2025-08-23;649549;5334799,50;0;0,00;2;65618,00;94;1322,30;198;315,20;4417;26,00;5323;13,50;73526;7,50;51687;4,50;186368;1,50
2025-08-20;448205;3168928,50;0;0,00;1;77955,60;28;2637,00;135;274,60;2093;32,70;3365;12,70;35397;7,50;34117;4,50;124842;1,50
2025-08-16;607144;4874754,00;0;0,00;1;119918,90;85;1336,20;200;285,10;3317;31,70;5408;12,10;58454;7,50;52595;4,50;189975;1,50
2025-08-13;427547;2942869,50;0;0,00;3;24131,50;48;1428,50;156;220,70;2195;28,90;3474;11,40;37107;7,50;32973;4,50;118599;1,50
2025-08-09;661536;5388766,50;1;2500000,00;8;16570,40;169;742,90;517;121,90;6358;18,30;9770;7,50;86946;7,50;71213;4,50;220175;1,50
2025-08-06;451457;3207426,00;0;0,00;1;78902,60;58;1288,50;133;282,10;2441;28,30;3256;13,20;42342;7,50;31921;4,50;119264;1,50
