Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2025-08-02;629904;5108863,50;0;0,00;1;125678,00;118;1008,70;209;285,90;5584;19,70;5194;13,20;84210;7,50;49414;4,50;173036;1,50
2025-07-30;420930;2935593,00;0;0,00;0;0,00;45;1519,90;105;327,10;2476;25,60;3191;12,40;38730;7,50;29333;4,50;104113;1,50
2025-07-26;697705;5692995,00;1;2000000,00;3;46682,50;76;1745,30;245;271,80;4169;29,40;6763;11,30;72592;7,50;63376;4,50;222686;1,50
2025-07-23;421623;2960854,50;0;0,00;1;72837,00;61;1130,90;131;264,40;3032;21,00;3285;12,10;47668;7,50;28711;4,50;97335;1,50
2025-07-19;614769;4963815,00;0;0,00;0;0,00;71;1628,90;246;236,00;4249;25,20;6783;9,80;70410;7,50;58298;4,50;200199;1,50
2025-07-16;460604;3295122,00;1;2000000,00;6;13510,00;75;1023,60;332;116,10;3342;21,20;6434;7,50;48765;7,50;50499;4,50;154037;1,50
2025-07-12;641965;5212678,50;0;0,00;4;32057,90;50;2429,10;241;253,00;3076;36,60;5643;12,40;56537;7,50;52989;4,50;194294;1,50
2025-07-09;436728;3054979,50;0;0,00;1;75152,40;54;1318,10;105;340,40;2437;27,00;2938;14,00;39220;7,50;26963;4,50;100770;1,50
2025-07-05;652910;5338933,50;1;1500000,00;1;131337,70;106;1173,50;243;257,00;4713;24,40;6664;10,80;74971;7,50;57152;4,50;201130;1,50
2025-07-02;432176;3048880,50;0;0,00;1;75002,40;60;1183,90;149;239,40;3053;21,50;3953;10,40;48093;7,50;34298;4,50;109472;1,50
2025-06-28;830508;7334769,00;1;5500000,00;1;180435,30;92;1857,60;228;376,30;4577;34,60;6484;15,20;80896;7,50;67662;4,50;278957;1,50
2025-06-25;561471;4574149,50;0;0,00;3;37508,00;89;1197,50;242;221,10;3845;25,60;5239;11,70;61394;7,50;46003;4,50;165650;1,50
2025-06-21;729160;6297808,50;0;0,00;5;30985,20;156;940,60;421;175,00;6701;20,30;9717;8,70;100635;7,50;84027;4,50;262090;1,50
2025-06-18;554464;4296814,50;0;0,00;1;105701,60;75;1334,80;196;256,40;3865;24,00;5217;11,10;63654;7,50;45776;4,50;150613;1,50
2025-06-14;745151;6173175,00;1;3500000,00;4;37965,00;202;712,00;508;142,10;7063;18,80;11464;7,50;102871;7,50;90731;4,50;289454;1,50
2025-06-11;487464;3583948,50;0;0,00;2;44082,50;48;1739,70;121;346,50;2521;30,70;3253;14,80;42113;7,50;32411;4,50;126948;1,50
2025-06-07;701512;5793825,00;0;0,00;1;142528,00;84;1607,00;253;267,90;4119;30,30;5774;13,50;70565;7,50;53363;4,50;198018;1,50
2025-06-04;486833;3491652,00;0;0,00;1;85894,60;63;1291,30;139;293,90;2924;25,70;3805;12,30;47158;7,50;35105;4,50;126459;1,50
2025-05-31;754702;6007726,50;0;0,00;2;73895,00;102;1372,30;256;274,50;5407;23,90;6687;12,10;91599;7,50;62531;4,50;227535;1,50
2025-05-28;474301;3275647,50;0;0,00;1;80580,90;31;2462,00;108;354,80;2108;33,50;2697;16,30;39876;7,50;25815;4,50;94851;1,50
2025-05-24;661967;5290977,00;1;1000000,00;1;130158,00;65;1896,60;184;336,40;3710;30,80;5061;14,10;61572;7,50;50996;4,50;192435;1,50
2025-05-21;483089;3361315,50;3;666667,00;3;27562,70;141;555,40;168;234,00;4989;14,50;3861;11,70;62401;7,50;33240;4,50;108363;1,50
2025-05-17;689475;5400613,50;0;0,00;2;66427,50;63;1997,30;158;399,90;4296;27,10;4726;15,40;77877;7,50;46735;4,50;169428;1,50
2025-05-14;457811;3108592,50;0;0,00;3;25490,40;78;928,50;202;180,00;3155;21,20;4158;10,00;48760;7,50;32591;4,50;107874;1,50
2025-05-10;730231;6239053,50;1;4000000,00;2;76740,30;93;1563,10;212;344,30;4704;28,60;6117;13,70;84633;7,50;52836;4,50;179851;1,50
2025-05-07;511187;3911272,50;0;0,00;2;48108,60;119;765,80;206;222,10;4067;20,70;5067;10,40;60643;7,50;44176;4,50;150200;1,50
2025-05-03;655353;5590497,00;0;0,00;2;68763,10;128;1017,60;268;244,00;5486;22,00;6576;11,40;84864;7,50;56957;4,50;191276;1,50
2025-04-30;457764;2978343,75;0;0,00;0;0,00;46;1812,90;120;347,40;2293;33,60;3454;11,80;41442;6,25;36086;3,75;139996;1,25
2025-04-26;662187;4724636,25;0;0,00;3;46458,90;94;1407,30;335;197,40;4964;24,60;7857;8,20;78069;6,25;68324;3,75;225776;1,25
2025-04-23;429190;2631463,75;0;0,00;0;0,00;35;2105,10;110;334,90;2051;33,20;2913;12,40;35503;6,25;29679;3,75;106949;1,25
2025-04-19;631435;4432527,50;0;0,00;2;65379,70;75;1654,80;182;340,90;4038;28,40;4952;12,30;68034;6,25;49285;3,75;185464;1,25
2025-04-16;490793;3207142,50;1;3000000,00;6;15768,40;95;945,20;231;194,30;3849;21,50;4330;10,20;57042;6,25;37464;3,75;130438;1,25
2025-04-12;665197;4776736,25;0;0,00;4;35228,40;76;1759,80;235;284,50;4407;28,00;6812;9,60;80382;6,25;62596;3,75;213902;1,25
2025-04-09;453317;2819447,50;0;0,00;0;0,00;93;848,80;204;193,40;3693;19,70;4349;8,90;54240;6,25;35941;3,75;116485;1,25
2025-04-05;654211;4622041,25;0;0,00;2;68175,10;69;1875,60;281;230,20;4550;26,30;7286;8,70;75175;6,25;65021;3,75;230274;1,25
2025-04-02;435591;2626565,00;0;0,00;1;77483,60;44;1671,40;122;301,40;2386;28,50;2920;12,40;35620;6,25;29299;3,75;111448;1,25
2025-03-29;699995;4965577,50;1;2000000,00;5;29296,90;119;1168,30;242;287,20;6087;21,10;6970;9,80;97034;6,25;57128;3,75;181025;1,25
2025-03-26;455834;2777812,50;0;0,00;5;16389,00;57;1364,50;171;227,40;3069;23,40;4393;8,70;46518;6,25;38395;3,75;131859;1,25
2025-03-22;642960;4487550,00;0;0,00;7;18911,80;118;1064,80;357;175,90;6046;19,20;7712;8,00;90210;6,25;58368;3,75;181800;1,25
2025-03-19;434496;2620450,00;1;1000000,00;0;0,00;53;1384,30;122;300,70;2531;26,80;3361;10,70;41667;6,25;33605;3,75;122495;1,25
2025-03-15;675553;4752951,25;1;1500000,00;0;0,00;189;704,10;277;240,20;7894;15,50;6044;10,80;109570;6,25;48593;3,75;161081;1,25
2025-03-12;441231;2669798,75;0;0,00;1;78759,00;59;1267,00;173;216,00;2711;25,50;3763;9,70;43760;6,25;33071;3,75;112667;1,25
2025-03-08;701569;5026475,00;1;2500000,00;1;148281,00;56;2513,20;156;451,00;3328;39,10;5359;12,90;61822;6,25;57723;3,75;239268;1,25
2025-03-05;467703;2919745,00;0;0,00;3;28710,80;74;1104,70;201;203,30;3412;22,10;4328;9,30;50453;6,25;35242;3,75;119151;1,25
2025-03-01;671313;4773266,25;0;0,00;6;23468,50;148;903,00;323;206,80;5354;23,00;6542;10,00;83054;6,25;56513;3,75;196412;1,25
2025-02-26;436261;2677902,50;0;0,00;0;0,00;54;1388,50;130;288,30;2106;32,90;3204;11,50;37585;6,25;33893;3,75;128028;1,25
2025-02-22;650510;4593065,00;1;1000000,00;1;135495,40;90;1428,90;285;225,60;5137;23,10;6668;9,50;84971;6,25;57920;3,75;189094;1,25
2025-02-19;550409;3879483,75;1;4500000,00;2;57222,30;94;1155,50;207;262,30;4176;24,00;5698;9,30;66741;6,25;51186;3,75;180833;1,25
2025-02-15;652287;4623456,25;0;0,00;2;68195,90;77;1681,20;198;326,90;4124;29,00;5300;12,00;72949;6,25;50298;3,75;177167;1,25
2025-02-12;633299;4918238,75;1;7000000,00;4;36272,00;138;997,90;319;215,80;5555;22,90;6516;10,40;85110;6,25;56681;3,75;188918;1,25
2025-02-08;834728;6694207,50;0;0,00;3;65826,30;152;1233,10;318;294,70;6964;24,80;7853;11,70;114555;6,25;74371;3,75;272332;1,25
2025-02-05;614604;4656728,75;0;0,00;4;34343,30;119;1095,70;361;180,50;5055;23,80;7361;8,70;74959;6,25;59465;3,75;211089;1,25
2025-02-01;801954;6338968,75;0;0,00;4;46749,80;122;1454,80;307;289,00;5230;31,30;8062;10,80;87981;6,25;78065;3,75;292852;1,25
2025-01-29;575455;4233357,50;0;0,00;3;41628,00;79;1500,40;287;206,50;4072;26,90;6697;8,70;63545;6,25;53103;3,75;185793;1,25
2025-01-25;771898;5848096,25;0;0,00;4;43129,70;219;747,70;430;190,40;7667;19,70;9419;8,50;108689;6,25;79815;3,75;267624;1,25
2025-01-22;528422;3620323,75;0;0,00;4;26699,80;87;1165,10;262;193,40;3977;23,50;5982;8,30;63847;6,25;49645;3,75;164655;1,25
2025-01-18;728935;5370648,75;0;0,00;0;0,00;77;1952,90;248;303,10;4406;31,50;7804;9,40;78600;6,25;79088;3,75;294194;1,25
2025-01-15;491696;3229128,75;0;0,00;1;95259,20;82;1102,60;150;301,30;3317;25,20;4306;10,30;54095;6,25;41359;3,75;151912;1,25
2025-01-11;669140;4826933,75;0;0,00;0;0,00;94;1437,80;196;344,70;4099;30,40;5896;11,20;73080;6,25;55608;3,75;194956;1,25
2025-01-08;464639;2892732,50;0;0,00;1;85335,60;36;2249,90;93;435,40;2183;34,30;3038;13,10;41713;6,25;30954;3,75;114945;1,25
2025-01-04;654642;4677112,50;0;0,00;3;45991,60;93;1408,10;226;289,70;4634;26,10;6742;9,50;82042;6,25;62427;3,75;211756;1,25
2025-01-01;445304;2755906,25;0;0,00;0;0,00;30;2572,10;123;313,60;2050;34,80;3342;11,30;36887;6,25;29783;3,75;107445;1,25
