Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2024-12-27;570976;4209385,00;0;41205363,00;1;129991,80;0;16878,40;8;788,50;52;102,00;175;42,30;150;33,60;2247;10,90;2669;9,90;5772;8,30;11301;5,50;37421;5,10;80341;3,70
2024-12-24;522135;3669522,50;0;0,00;0;306780,30;2;8962,40;3;1395,70;51;107,80;101;67,60;168;22,90;1156;18,10;2192;11,20;6420;6,50;6142;8,90;28486;5,90;82214;3,10
2024-12-20;592266;4330897,50;0;0,00;0;222689,40;2;19517,30;6;1034,70;62;113,10;142;49,60;125;37,00;1930;12,00;2621;10,50;5451;8,90;10511;5,80;36502;5,30;79882;3,80
2024-12-17;489809;3478650,00;0;77557137,00;0;603073,30;0;17618,50;3;914,60;59;87,60;111;40,80;93;34,30;1849;9,90;2462;8,40;4708;8,20;9892;4,90;32317;4,70;65024;3,80
2024-12-13;777144;5930090,00;0;0,00;0;880351,00;2;22861,30;5;1393,10;62;146,60;128;70,30;204;39,30;2153;16,70;2841;12,80;7204;9,50;11690;7,60;43709;6,20;106045;4,00
2024-12-10;474668;3292390,00;0;0,00;0;554372,40;0;43188,60;4;1345,20;36;124,70;106;43,20;80;49,30;1796;10,20;1785;10,60;3571;10,10;9362;5,00;27867;5,00;56926;4,10
2024-12-06;633732;4669565,00;0;0,00;0;0,00;1;78150,90;2;1300,60;40;153,60;114;69,80;91;46,90;1666;16,70;2114;13,50;5207;10,40;9173;7,70;32472;6,40;79435;4,30
2024-12-03;452449;3055242,50;0;0,00;0;0,00;0;129039,70;0;1812,80;36;158,30;73;64,00;66;53,80;1116;14,60;1372;13,30;3085;11,50;6133;6,50;22282;6,00;49299;4,50
2024-11-29;632861;4662232,50;0;0,00;1;171105,20;0;26660,00;10;1083,10;115;98,00;234;39,40;195;36,20;2802;10,30;3690;9,70;7214;8,60;13061;5,20;45026;4,90;90621;3,80
2024-11-26;888896;7900590,00;0;212448937,00;1;73659,10;2;18445,00;6;1462,40;153;99,30;192;65,20;280;31,70;2842;16,60;4667;10,60;11319;7,90;14766;8,20;65704;5,50;154704;3,50
2024-11-22;1350142;12378002,50;0;0,00;2;151312,40;2;14407,60;9;1302,80;204;102,20;335;60,20;450;30,90;4662;14,60;7368;10,10;17428;7,90;24802;7,00;104202;5,20;242473;3,60
2024-11-19;721794;6055892,50;0;0,00;0;437600,40;1;18595,30;5;1179,80;102;105,70;139;57,90;179;37,70;2340;15,20;3448;10,60;8449;8,50;11567;7,70;49738;5,40;115912;3,70
2024-11-15;882018;7543545,00;0;0,00;0;1030972,90;2;26772,80;1;1471,60;62;168,30;231;62,60;151;54,90;3784;13,10;3983;12,50;8624;10,50;19308;5,90;62890;5,60;141725;4,00
2024-11-12;591670;4705837,50;0;0,00;0;256306,60;0;14975,70;3;1365,20;69;113,30;140;59,60;151;33,40;1865;15,50;2855;10,60;6512;8,00;8788;8,00;37934;5,50;94998;3,50
2024-11-08;818720;6795347,50;0;0,00;0;316791,80;0;18509,80;2;1773,90;64;157,10;176;74,10;148;51,50;2499;17,30;3443;13,60;7799;11,20;13064;7,50;50507;6,30;114732;4,50
2024-11-05;668415;5275362,50;0;0,00;0;119513,00;1;20949,10;5;1186,30;106;110,50;179;54,00;179;38,60;2301;13,10;3267;11,20;7122;9,20;12647;6,10;44476;5,60;98765;4,00
2024-11-01;640512;4943740,00;0;0,00;0;152337,60;0;44504,70;5;1108,90;50;145,70;169;47,00;108;47,70;2575;11,40;3370;10,70;6457;10,10;13807;5,10;45989;5,30;87707;4,30
2024-10-29;496345;3570507,50;0;0,00;1;293155,70;0;45676,80;1;1855,70;40;164,40;80;80,90;91;42,60;1088;18,90;1518;14,20;4316;9,20;5846;9,00;23970;6,70;66190;3,70
2024-10-25;623862;4737405,00;0;0,00;0;402669,50;0;26888,70;1;1465,60;72;106,50;115;66,20;131;38,70;1661;15,40;2949;9,80;6194;8,80;8387;7,60;41643;5,00;86631;3,80
2024-10-22;454572;3149045,00;0;0,00;0;269163,30;0;13979,50;1;1632,80;48;102,30;62;66,00;109;31,60;1097;16,30;1875;10,10;4415;7,90;6022;7,90;27100;5,20;60259;3,60
2024-10-18;612260;4526780,00;0;0,00;0;352631,70;0;27471,90;3;1466,80;43;133,90;107;67,50;163;32,30;1519;17,50;2279;12,60;6721;7,60;8199;8,20;31936;6,40;89927;3,50
2024-10-15;439536;2961047,50;0;0,00;0;506802,60;0;23689,60;0;1366,40;35;141,20;83;58,80;73;48,70;1291;13,10;1410;13,10;2991;11,50;7869;5,60;21886;6,00;46153;4,60
2024-10-11;610240;4439177,50;0;0,00;0;223088,00;0;26069,60;1;1624,00;55;121,60;89;69,30;100;46,30;1328;16,50;2394;11,90;4873;10,70;8120;7,40;35339;5,60;72014;4,40
2024-10-08;452623;3050832,50;0;0,00;0;122519,20;0;16362,70;0;1150,80;48;123,30;90;52,90;84;38,10;1365;12,50;1935;10,60;4341;8,90;6515;6,10;26804;5,10;60889;3,70
2024-10-04;935281;8146920,00;0;162256512,00;1;94700,00;1;13279,70;10;852,80;169;84,10;293;46,70;380;24,50;3475;13,10;5525;9,10;13028;7,00;16942;6,90;70632;5,10;168213;3,40
2024-10-01;713618;5943350,00;0;0,00;0;124015,80;2;20289,10;7;1373,80;77;137,60;163;68,70;202;41,40;2151;16,40;3458;11,80;7641;9,50;11438;7,60;47177;5,80;108552;4,00
2024-09-27;1131122;10172245,00;0;0,00;0;416328,80;0;16217,10;4;1337,00;129;113,30;245;63,80;342;33,70;3566;15,70;6447;10,30;15990;7,80;18991;7,80;86128;5,20;212464;3,40
2024-09-24;476682;3300652,50;0;0,00;0;138661,10;0;64814,70;1;1615,00;57;139,00;92;55,00;102;50,40;1409;12,20;1694;12,40;3483;11,00;8127;5,30;26747;5,40;54613;4,40
2024-09-20;624761;4607552,50;0;0,00;0;231778,90;0;12500,90;5;937,30;49;123,90;200;37,70;113;45,00;3028;9,20;2624;11,10;5461;10,50;15972;4,10;37549;5,40;78621;4,40
2024-09-17;435590;2952497,50;0;0,00;0;0,00;1;159071,50;1;1976,00;37;150,30;69;79,70;81;44,30;980;18,50;1450;13,70;3262;10,70;5057;8,80;20020;6,80;49828;4,30
2024-09-13;634363;4627652,50;0;0,00;1;252503,60;1;35408,50;3;2397,50;46;135,60;98;70,80;142;35,10;1708;17,70;2489;11,80;6390;8,30;8893;8,50;36207;5,80;91051;3,60
2024-09-10;421355;2801595,00;0;0,00;0;484860,80;1;18886,60;1;2715,10;17;182,10;71;72,00;72;59,50;1028;15,60;1076;14,70;2575;12,40;6613;6,50;18635;6,50;40178;4,80
2024-09-06;826069;6967225,00;1;149017789,00;2;257427,90;0;34380,00;4;1362,90;77;135,10;186;69,10;137;49,70;2480;16,20;3786;12,30;7688;11,00;13590;7,30;56460;5,60;113154;4,40
2024-09-03;622307;4988757,50;0;0,00;0;262554,00;0;16735,40;2;1042,50;74;104,10;155;40,00;161;33,90;2506;10,50;3318;8,90;7129;7,90;12647;5,50;45566;4,60;98191;3,60
2024-08-30;736728;6052965,00;0;0,00;0;184395,80;2;15391,50;5;1398,20;100;107,60;252;48,30;236;36,40;2931;12,30;4026;10,10;8606;8,50;14468;6,10;54273;5,20;117712;3,80
2024-08-27;558158;4272535,00;0;0,00;0;0,00;0;160042,00;0;1311,50;40;138,90;100;65,90;94;47,20;1738;15,60;2105;12,30;4868;10,00;9220;7,40;33754;5,70;76443;3,90
2024-08-23;637525;4956875,00;0;0,00;0;778922,80;0;26006,70;2;2025,10;67;130,70;116;66,10;115;48,30;1602;16,00;2679;11,50;5058;10,50;9092;7,50;40823;5,40;82370;4,20
2024-08-20;475037;3416495,00;0;0,00;0;71422,40;0;7855,30;2;831,80;71;66,30;104;50,10;175;20,30;1416;14,70;2686;7,60;6368;6,00;6659;7,80;32652;4,60;78319;3,10
2024-08-16;568887;4277850,00;0;0,00;0;184603,50;0;34515,90;2;1853,50;33;149,30;74;77,40;131;42,10;1347;17,90;2056;13,20;5396;9,20;7016;8,60;29132;6,30;77875;3,80
2024-08-13;446374;3123372,50;0;0,00;0;534410,60;0;41633,50;1;1496,20;19;170,60;67;72,20;50;54,40;1018;16,90;1359;14,60;3089;11,60;6030;7,40;21313;6,60;49265;4,40
2024-08-09;578562;4280132,50;0;0,00;0;163953,00;0;25545,60;0;1446,70;48;104,10;122;62,70;129;35,50;1708;15,30;2710;10,80;6789;7,70;8685;7,50;34848;5,60;86342;3,60
2024-08-06;423066;2865387,50;0;0,00;0;121482,30;0;16224,20;6;1538,00;33;133,20;76;78,10;83;39,80;912;18,50;1532;12,70;3617;9,70;4907;8,90;21814;6,20;52164;4,00
2024-08-02;537961;3892237,50;0;0,00;0;204919,70;1;10262,80;1;1398,50;58;100,90;93;64,10;126;32,50;1509;16,00;2475;9,90;5607;7,90;7297;8,10;33489;5,20;79472;3,50
2024-07-30;378868;2495402,50;0;0,00;0;0,00;0;108423,60;1;1390,70;21;135,10;94;50,80;55;52,60;1500;10,90;1358;11,90;3130;10,20;7611;5,00;21157;5,50;46104;4,10
2024-07-26;529972;3824817,50;0;28649442,00;0;152025,20;2;14212,30;2;819,70;79;90,40;145;43,80;144;34,70;2192;10,90;2704;9,80;5646;8,80;10442;5,40;34692;5,20;73054;3,90
2024-07-23;377074;2500392,50;0;0,00;2;147222,00;0;14746,30;4;423,00;59;94,00;177;21,80;87;35,40;1615;8,60;1884;8,50;3453;8,30;6308;5,60;23274;4,80;47134;3,80
2024-07-19;554886;4102632,50;0;26181999,00;0;240060,30;0;56106,00;1;1248,20;44;113,40;93;64,50;117;40,00;1522;15,20;2151;11,00;4442;10,30;8414;6,90;31677;5,50;64980;4,40
2024-07-16;421829;2849850,00;0;0,00;1;492731,30;0;23031,80;0;1992,70;27;178,00;61;81,30;44;61,70;938;17,80;1237;14,50;2626;12,90;5151;7,60;20667;6,20;42388;5,00
2024-07-12;554762;4033990,00;0;0,00;0;211029,30;0;18495,30;1;1280,10;65;114,20;84;64,80;129;34,30;1399;16,00;2600;10,50;6325;7,80;7014;7,90;33844;5,40;83702;3,60
2024-07-09;416514;2783880,00;0;0,00;0;233146,70;0;15568,60;1;998,30;42;103,00;99;54,40;88;32,90;1083;13,70;1704;10,10;4063;8,30;5879;6,70;23381;5,20;54422;3,70
