Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2024-08-14;436902;2676587,50;0;0,00;2;39479,60;41;1827,90;134;279,60;2926;23,60;3518;10,40;45782;6,25;33091;3,75;118072;1,25
2024-08-10;659684;4681235,00;1;1500000,00;6;23016,00;92;1424,70;246;266,40;4495;26,90;6019;10,70;74038;6,25;53279;3,75;192761;1,25
2024-08-07;429607;2624530,00;0;0,00;0;0,00;46;1597,50;118;311,30;2532;26,80;3252;11,10;39328;6,25;32102;3,75;119364;1,25
2024-08-03;685495;5077290,00;1;3500000,00;1;149780,00;175;812,30;297;239,30;7402;17,70;6117;11,40;103270;6,25;52016;3,75;180348;1,25
2024-07-31;482261;3183797,50;0;0,00;0;0,00;69;1291,90;139;320,60;3416;24,10;3807;11,50;53970;6,25;34103;3,75;118493;1,25
2024-07-27;646709;4684522,50;0;0,00;1;138193,40;76;1725,80;238;275,50;4556;26,60;5508;11,70;73341;6,25;49109;3,75;176648;1,25
2024-07-24;445986;2818553,75;0;0,00;0;0,00;48;1644,10;141;279,80;2588;28,20;3677;10,50;45916;6,25;35406;3,75;127455;1,25
2024-07-20;620759;4427343,75;0;0,00;0;0,00;56;2213,60;235;263,70;3726;30,70;5888;10,30;64840;6,25;57241;3,75;196975;1,25
2024-07-17;419720;2577400,00;0;0,00;0;0,00;62;1163,90;180;200,40;2954;22,50;3008;11,80;46139;6,25;28014;3,75;98042;1,25
2024-07-13;647425;4633667,50;1;1500000,00;1;136693,10;67;1936,40;145;447,30;3857;31,10;4338;14,70;68619;6,25;42980;3,75;155414;1,25
2024-07-10;434823;2677710,00;0;0,00;0;0,00;48;1561,90;115;325,90;2191;31,60;3249;11,30;36513;6,25;32512;3,75;124685;1,25
2024-07-06;686255;4981483,75;2;1250000,00;3;48984,50;110;1268,00;222;314,10;5187;24,80;5637;12,10;80536;6,25;54569;3,75;201399;1,25
2024-07-03;460938;2918776,25;0;0,00;3;28701,20;39;2095,50;113;361,60;2376;31,80;2850;14,10;41177;6,25;27928;3,75;106291;1,25
2024-06-29;649023;4635073,75;0;0,00;3;45578,20;162;801,10;305;212,70;6849;17,50;6353;10,00;90717;6,25;56405;3,75;187290;1,25
2024-06-26;437759;2692793,75;0;0,00;1;79437,40;52;1449,90;133;283,40;2370;29,40;3625;10,20;39744;6,25;33627;3,75;123429;1,25
2024-06-22;673738;4778041,25;1;1500000,00;1;140952,20;115;1163,30;277;241,40;5468;22,60;6409;10,20;87313;6,25;52551;3,75;170303;1,25
2024-06-19;436316;2674576,25;0;0,00;2;39449,90;51;1468,30;175;213,90;2520;27,40;4275;8,60;41806;6,25;38121;3,75;125826;1,25
2024-06-15;659227;4659466,25;1;1000000,00;6;22909,00;138;945,30;336;194,10;5939;20,30;7755;8,20;90792;6,25;62005;3,75;193610;1,25
2024-06-12;515979;3479832,50;1;3500000,00;6;17109,10;61;1597,30;154;316,30;3227;27,90;3892;12,30;50422;6,25;38478;3,75;147683;1,25
2024-06-08;721571;5305557,50;0;0,00;4;39128,40;57;2606,20;235;316,00;4310;31,80;6868;10,60;75620;6,25;66470;3,75;238401;1,25
2024-06-05;477955;3076485,00;0;0,00;1;90756,30;45;1914,20;157;274,30;2660;29,90;4376;9,70;45942;6,25;41935;3,75;148172;1,25
2024-06-01;676409;4902323,75;0;0,00;1;144618,50;71;1933,30;207;331,50;4317;29,40;6121;11,00;77074;6,25;58521;3,75;202908;1,25
2024-05-29;448635;2822462,50;0;0,00;2;41631,30;41;1927,50;134;294,80;2327;31,40;3291;11,80;41792;6,25;33643;3,75;129808;1,25
2024-05-25;645822;4612573,75;0;0,00;1;136070,90;66;1956,80;138;467,90;3489;34,20;4036;15,70;56570;6,25;40414;3,75;156625;1,25
2024-05-22;468193;3081997,50;1;3000000,00;0;0,00;57;1513,90;139;310,40;2730;29,20;3746;11,30;43155;6,25;35810;3,75;133759;1,25
2024-05-18;684640;4973665,00;0;0,00;1;146723,10;114;1221,60;295;236,00;5597;23,00;6996;9,80;91020;6,25;62918;3,75;204640;1,25
2024-05-15;459918;2920012,50;0;0,00;0;0,00;69;1184,90;147;278,00;3453;21,90;3976;10,10;53178;6,25;35760;3,75;120995;1,25
2024-05-11;622584;4446070,00;0;0,00;3;43719,60;99;1257,40;234;266,00;5046;22,80;5316;11,50;75904;6,25;46543;3,75;168376;1,25
2024-05-08;453551;2799423,75;0;0,00;1;82583,00;38;2062,70;128;306,10;2164;33,50;3341;11,50;38737;6,25;31259;3,75;113109;1,25
2024-05-04;660151;4696061,25;1;1000000,00;1;138533,80;70;1878,40;262;250,90;4411;27,50;6492;9,90;76885;6,25;59859;3,75;213469;1,25
2024-05-01;475113;3095283,75;1;3000000,00;0;0,00;55;1575,70;164;264,20;3176;25,20;3693;11,50;48881;6,25;33223;3,75;118710;1,25
2024-04-27;711065;5140041,25;0;0,00;3;50543,70;134;1074,00;328;219,30;6250;21,30;8223;8,60;96785;6,25;73451;3,75;250738;1,25
2024-04-24;431471;2733450,00;0;0,00;0;0,00;56;1366,70;136;281,30;2668;26,50;3331;11,30;42557;6,25;30252;3,75;107542;1,25
2024-04-20;677205;4814521,25;0;0,00;2;71014,10;146;923,30;295;228,40;6037;20,60;7101;9,30;87111;6,25;62409;3,75;221178;1,25
2024-04-17;433771;2672912,50;0;0,00;10;7885,00;416;179,90;267;140,10;2667;25,90;3483;10,50;40459;6,25;30519;3,75;107469;1,25
2024-04-13;730867;5315166,25;1;2500000,00;2;78398,70;77;1932,70;306;243,10;4077;33,70;7237;10,10;70558;6,25;67671;3,75;240760;1,25
2024-04-10;491647;3160098,75;0;0,00;5;18644,50;125;707,80;298;148,40;4497;18,20;6275;6,90;60705;6,25;48370;3,75;144995;1,25
2024-04-06;702550;5037201,25;0;0,00;3;49532,40;106;1330,50;246;286,60;5883;22,10;6923;10,00;88765;6,25;65977;3,75;239683;1,25
2024-04-03;454783;2800441,25;0;0,00;0;0,00;41;1912,40;140;280,00;2288;31,70;3381;11,40;38758;6,25;31044;3,75;117948;1,25
2024-03-30;671411;4779166,25;3;333334,00;1;140985,40;136;983,90;265;252,40;5477;22,60;6876;9,50;90091;6,25;60834;3,75;217506;1,25
2024-03-27;449935;2820782,50;1;1500000,00;2;41606,50;37;2134,60;132;299,10;2215;32,90;3083;12,60;41155;6,25;33350;3,75;128062;1,25
2024-03-23;665571;4744878,75;0;0,00;0;0,00;79;1681,70;234;283,80;4225;29,00;6207;10,50;72131;6,25;57206;3,75;211390;1,25
2024-03-20;625486;4873886,25;1;7500000,00;0;0,00;121;1127,80;303;225,10;5445;23,10;7814;8,60;87251;6,25;70754;3,75;234501;1,25
2024-03-16;841384;6730947,50;0;0,00;6;33093,80;189;997,10;502;187,70;8983;19,40;11782;7,80;127796;6,25;99304;3,75;314983;1,25
2024-03-13;600301;4498156,25;0;0,00;2;66347,80;178;707,50;221;284,90;7317;15,90;5623;11,00;96220;6,25;48843;3,75;167832;1,25
2024-03-09;801641;6369972,50;0;0,00;7;26844,80;172;1036,90;313;284,90;7853;21,00;7612;11,50;114120;6,25;71179;3,75;256071;1,25
2024-03-06;572639;4239750,00;0;0,00;4;31268,10;114;1041,30;238;249,30;4852;22,60;6081;9,60;75294;6,25;55480;3,75;184261;1,25
2024-03-02;796076;6250505,00;0;0,00;6;30731,60;156;1121,80;454;192,70;6573;24,60;10058;8,50;105989;6,25;88093;3,75;302855;1,25
2024-02-28;527052;3765221,25;0;0,00;0;0,00;145;727,00;261;201,90;5336;18,20;6236;8,30;71401;6,25;51574;3,75;170422;1,25
2024-02-24;746733;5648457,50;0;0,00;3;55543,10;121;1307,00;305;259,20;5444;26,80;7555;10,30;90956;6,25;73875;3,75;268736;1,25
2024-02-21;496202;3328808,75;0;0,00;9;10911,00;118;789,80;363;128,30;4528;19,00;7369;6,25;65115;6,25;51538;3,75;148441;1,25
2024-02-17;702081;5140678,75;0;0,00;1;151650,00;64;2249,00;218;330,10;3625;36,70;5570;12,70;66298;6,25;51443;3,75;198004;1,25
2024-02-14;465540;2989318,75;0;0,00;1;88184,90;117;715,30;197;212,40;4625;16,70;4188;9,80;67239;6,25;34561;3,75;113810;1,25
2024-02-10;674505;4837560,00;0;0,00;1;142708,00;106;1277,80;245;276,40;4960;25,20;6419;10,40;80930;6,25;62948;3,75;229206;1,25
2024-02-07;443128;2746778,75;0;0,00;1;81029,90;89;864,10;151;254,60;3103;22,90;3572;10,60;49768;6,25;33355;3,75;124236;1,25
2024-02-03;664728;4704612,50;0;0,00;4;34696,50;123;1070,90;251;262,40;5502;22,10;6594;9,80;82055;6,25;62483;3,75;230569;1,25
2024-01-31;433316;2643747,50;1;1000000,00;3;25996,80;46;1609,20;176;210,20;2762;24,70;4575;7,90;44938;6,25;38395;3,75;127954;1,25
2024-01-27;719506;5181495,00;1;2500000,00;2;76427,00;88;1648,60;321;225,90;5502;24,30;7314;9,70;89104;6,25;64909;3,75;218528;1,25
2024-01-24;458389;2874935,00;0;0,00;0;0,00;54;1490,70;105;383,30;2629;28,30;3510;11,30;42782;6,25;32783;3,75;124471;1,25
2024-01-20;659396;4694426,25;0;0,00;1;138485,50;69;1904,90;202;325,30;3028;40,10;4997;12,90;54770;6,25;47471;3,75;180634;1,25
2024-01-17;416986;2530955,00;0;0,00;2;37331,50;31;2286,00;113;313,50;2197;29,80;3890;8,90;38539;6,25;38151;3,75;139128;1,25
2024-01-13;679286;4832373,75;2;750000,00;2;71277,50;126;1073,80;250;270,60;5346;23,40;6558;10,10;79315;6,25;57941;3,75;196507;1,25
2024-01-10;429520;2619127,50;0;0,00;0;0,00;65;1128,20;154;238,10;3004;22,50;3734;9,60;46465;6,25;32273;3,75;110107;1,25
2024-01-06;723352;5322387,50;2;1500000,00;3;52336,80;90;1655,80;398;187,20;5317;25,90;9118;8,00;86331;6,25;79491;3,75;269540;1,25
2024-01-03;459047;2949418,75;0;0,00;2;43503,90;54;1529,30;128;322,50;2660;28,70;3432;11,80;46239;6,25;33750;3,75;122266;1,25
